date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/25/21,2022,0,,BRK,WAS,1577.61618,1513.441791,0.720121376,0.279878624,1583.979806,1507.078165,,,,,,,1618.018004,1513.581824,0.70589316,0.29410684,104,90,75,39,57
10/25/21,2022,0,,TOR,CHI,1460.480836,1515.333012,0.564609686,0.435390314,1453.931243,1521.882604,,,,,,,1503.271342,1508.564966,0.6292863,0.3707137,108,111,53,66,60
10/25/21,2022,0,,MIA,ORL,1536.831185,1331.705925,0.852763509,0.147236491,1540.298177,1328.238933,,,,,,,1531.876624,1317.48036,0.884270606,0.115729394,107,90,20,6,13
10/25/21,2022,0,,ATL,DET,1569.516043,1368.901753,0.849473162,0.150526838,1573.212319,1365.205478,,,,,,,1615.704163,1360.496752,0.886360268,0.113639732,122,104,41,2,22
10/25/21,2022,0,,MIN,NOP,1451.929657,1453.458076,0.638035546,0.361964454,1438.446426,1466.941307,,,,,,,1515.908355,1510.551263,0.646870175,0.353129825,98,107,56,59,58
10/25/21,2022,0,,DEN,CLE,1600.077194,1350.628989,0.882008132,0.117991868,1571.585672,1379.12051,,,,,,,1611.508152,1374.848106,0.900709854,0.099290146,87,99,44,1,23
10/25/21,2022,0,,LAC,POR,1606.377858,1589.374213,0.662292491,0.337707509,1619.881812,1575.870259,,,,,,,1586.698549,1609.539053,0.608453578,0.391546422,116,86,85,38,62
10/26/21,2022,0,,NYK,PHI,1543.502046,1617.609333,0.537193776,0.462806224,1554.613215,1606.498164,,,,,,,1560.356882,1599.864675,0.587052174,0.412947826,112,99,80,27,54
10/26/21,2022,0,,OKC,GSW,1289.005593,1558.064991,0.274246294,0.725753706,1284.618942,1562.451642,,,,,,,1287.783293,1546.451433,0.299652683,0.700347317,98,106,16,12,14
10/26/21,2022,0,,SAS,LAL,1472.543687,1530.483423,0.560235615,0.439764385,1465.210671,1537.816439,,,,,,,1474.258512,1457.66254,0.668629443,0.331370557,121,125,36,43,40
10/26/21,2022,0,,DAL,HOU,1539.796493,1343.196715,0.846494274,0.153505726,1542.37151,1340.621698,,,,,,,1604.9636,1347.11413,0.881085267,0.118914733,116,106,36,3,20
10/26/21,2022,0,,UTA,DEN,1625.266663,1571.585672,0.707786728,0.292213272,1631.322627,1565.529708,,,,,,,1640.976278,1602.492768,0.77443209,0.22556791,122,110,90,6,48
10/27/21,2022,0,,ORL,CHO,1328.238933,1465.692911,0.446307222,0.553692778,1319.803139,1474.128704,,,,,,,1316.742746,1454.515048,0.43844538,0.56155462,111,120,11,14,13
10/27/21,2022,0,,NOP,ATL,1466.941307,1573.212319,0.490976267,0.509023733,1461.478989,1578.674636,,,,,,,1509.913348,1620.327444,0.468315028,0.531684972,99,102,75,37,56
10/27/21,2022,0,,TOR,IND,1453.931243,1482.805898,0.600951291,0.399048709,1465.432255,1471.304886,,,,,,,1500.976167,1554.107528,0.56312768,0.43687232,118,100,62,64,63
10/27/21,2022,0,,BRK,MIA,1583.979806,1540.298177,0.695740957,0.304259043,1564.715997,1559.561986,,,,,,,1610.467038,1545.955223,0.719674606,0.280325394,93,106,79,30,55
10/27/21,2022,0,,BOS,WAS,1484.581057,1507.078165,0.609721691,0.390278309,1471.926598,1519.732625,,,,,,,1589.206078,1520.937656,0.712094565,0.287905435,107,116,72,46,59
10/27/21,2022,0,,OKC,LAL,1284.618942,1537.816439,0.292789243,0.707210757,1299.254636,1523.180745,,,,,,,1305.223047,1350.989746,0.585239003,0.414760997,123,115,3,19,11
10/27/21,2022,0,,MIL,MIN,1650.335114,1438.446426,0.857585078,0.142414922,1634.251873,1454.529667,,,,,,,1578.519042,1510.702568,0.721866914,0.278133086,108,113,68,20,44
10/27/21,2022,0,,POR,MEM,1575.870259,1552.570016,0.670351055,0.329648945,1585.700117,1542.740159,,,,,,,1604.448515,1551.596892,0.698434515,0.301565485,116,96,79,40,60
10/27/21,2022,0,,PHO,SAC,1622.031043,1444.996274,0.831281988,0.168718012,1610.089765,1456.937552,,,,,,,1615.959272,1462.480008,0.811156464,0.188843536,107,110,65,11,38
10/27/21,2022,0,,LAC,CLE,1619.881812,1379.12051,0.876703814,0.123296186,1590.345946,1408.656377,,,,,,,1588.533623,1387.934347,0.849049865,0.150950135,79,92,43,6,25
10/28/21,2022,0,,WAS,ATL,1519.732625,1578.674636,0.558813669,0.441186331,1529.139762,1569.267499,,,,,,,1518.461881,1610.900126,0.505276949,0.494723051,122,111,75,42,59
10/28/21,2022,0,,PHI,DET,1606.498164,1365.205478,0.877034082,0.122965918,1608.252156,1363.451486,,,,,,,1597.248033,1359.637621,0.872116832,0.127883168,110,102,38,2,20
10/28/21,2022,0,,CHI,NYK,1521.882604,1554.613215,0.595616599,0.404383401,1516.793895,1559.701925,,,,,,,1519.236215,1558.926494,0.584857855,0.415142145,103,104,67,62,65
10/28/21,2022,0,,HOU,UTA,1340.621698,1631.322627,0.250159314,0.749840686,1330.900837,1641.043488,,,,,,,1351.120576,1652.264375,0.237549056,0.762450944,91,122,45,1,23
10/28/21,2022,0,,DAL,SAS,1542.37151,1465.210671,0.73493749,0.26506251,1545.639089,1461.943092,,,,,,,1584.522775,1494.653306,0.746304925,0.253695075,104,99,67,23,45
10/28/21,2022,0,,GSW,MEM,1562.451642,1542.740159,0.665769956,0.334230044,1554.219087,1550.972714,,,,,,,1542.820143,1547.383558,0.67766486,0.32233514,101,104,69,54,62
10/29/21,2022,0,,TOR,ORL,1465.432255,1319.803139,0.804388978,0.195611022,1466.753844,1318.481551,,,,,,,1508.380512,1319.155979,0.841632622,0.158367378,110,109,17,7,12
10/29/21,2022,0,,BRK,IND,1564.715997,1471.304886,0.752755705,0.247244295,1568.318588,1467.702295,,,,,,,1594.641592,1535.963369,0.707447645,0.292552355,105,98,76,44,60
10/29/21,2022,0,,MIA,CHO,1559.561986,1474.128704,0.744109727,0.255890273,1565.562211,1468.12848,,,,,,,1535.652899,1474.342282,0.701147498,0.298852502,114,99,52,46,49
10/29/21,2022,0,,NOP,SAC,1461.478989,1456.937552,0.646065469,0.353934531,1452.561259,1465.855282,,,,,,,1501.273393,1461.424002,0.691340266,0.308659734,109,113,43,42,43
10/29/21,2022,0,,DEN,DAL,1565.529708,1545.639089,0.665999379,0.334000621,1579.179413,1531.989384,,,,,,,1527.349965,1586.961621,0.675412428,0.324587572,106,75,73,19,46
10/29/21,2022,0,,POR,LAC,1585.700117,1590.345946,0.633880979,0.366119021,1596.454922,1579.59114,,,,,,,1610.604824,1578.98675,0.678468235,0.321531765,111,92,84,33,59
10/29/21,2022,0,,LAL,CLE,1523.180745,1408.656377,0.774675305,0.225324695,1527.656476,1404.180646,,,,,,,1460.318685,1397.798415,0.702981394,0.297018606,113,101,23,19,21
10/30/21,2022,0,,WAS,BOS,1529.139762,1471.926598,0.711974222,0.288025778,1532.000455,1469.065905,,,,,,,1524.029454,1558.982953,0.585580292,0.414419708,115,112,68,70,69
10/30/21,2022,0,,NOP,NYK,1452.561259,1559.701925,0.489725202,0.510274798,1445.030456,1567.232729,,,,,,,1471.945774,1568.382583,0.435146901,0.564853099,117,123,58,50,54
10/30/21,2022,0,,DET,ORL,1363.451486,1318.481551,0.69730855,0.30269145,1368.015154,1313.917883,,,,,,,1365.172061,1335.294992,0.73297666,0.26702334,110,103,5,0,3
10/30/21,2022,0,,IND,TOR,1467.702295,1466.753844,0.641321857,0.358678143,1459.901546,1474.554592,,,,,,,1532.492035,1503.138018,0.674615494,0.325384506,94,97,58,59,59
10/30/21,2022,0,,PHI,ATL,1608.252156,1569.267499,0.689987315,0.310012685,1619.857289,1557.662366,,,,,,,1623.172407,1608.396717,0.650441394,0.349558606,122,94,89,13,51
10/30/21,2022,0,,MIL,SAS,1634.251873,1461.943092,0.827431969,0.172568031,1613.657227,1482.537738,,,,,,,1551.866506,1493.099876,0.717061928,0.282938072,93,102,60,15,38
10/30/21,2022,0,,MEM,MIA,1550.972714,1565.562211,0.620497968,0.379502032,1524.708486,1591.826439,,,,,,,1540.539903,1574.021429,0.642053653,0.357946347,103,129,73,35,54
10/30/21,2022,0,,CHI,UTA,1516.793895,1641.043488,0.465158588,0.534841412,1526.698014,1631.139368,,,,,,,1524.634475,1608.723156,0.527622926,0.472377074,107,99,76,29,53
10/30/21,2022,0,,GSW,OKC,1554.219087,1299.254636,0.885272894,0.114727106,1557.247732,1296.225991,,,,,,,1538.110648,1308.582869,0.870170649,0.129829351,103,82,19,6,13
10/30/21,2022,0,,MIN,DEN,1454.529667,1579.179413,0.464585564,0.535414436,1450.126861,1583.58222,,,,,,,1516.016791,1588.48359,0.607631805,0.392368195,91,93,71,37,54
10/30/21,2022,0,,PHO,CLE,1610.089765,1404.180646,0.853329157,0.146670843,1612.383712,1401.8867,,,,,,,1610.284325,1398.458343,0.889430722,0.110569278,101,92,49,3,26
10/31/21,2022,0,,DAL,SAC,1531.989384,1465.855282,0.72238937,0.27761063,1535.779081,1462.065585,,,,,,,1570.02085,1468.34461,0.755908427,0.244091573,105,99,58,27,43
10/31/21,2022,0,,MIL,UTA,1613.657227,1631.139368,0.6165691,0.3834309,1598.293972,1646.502624,,,,,,,1548.080863,1616.562589,0.542427473,0.457572527,95,107,80,11,46
10/31/21,2022,0,,CHO,POR,1468.12848,1596.454922,0.459325057,0.540674943,1481.003052,1583.580349,,,,,,,1480.835324,1609.329573,0.471492927,0.528507073,125,113,68,36,52
10/31/21,2022,0,,BRK,DET,1568.318588,1368.015154,0.849244207,0.150755793,1573.112107,1363.221635,,,,,,,1580.631649,1364.871956,0.886815342,0.113184658,117,91,36,4,20
10/31/21,2022,0,,LAL,HOU,1527.656476,1330.900837,0.846610822,0.153389178,1530.229278,1328.328035,,,,,,,1460.139947,1343.323827,0.779706175,0.220293825,95,85,14,11,13
11/1/21,2022,0,,IND,SAS,1459.901546,1482.537738,0.609531156,0.390468844,1468.912508,1473.526776,,,,,,,1539.630516,1500.018739,0.690828795,0.309171205,131,118,59,44,52
11/1/21,2022,0,,PHI,POR,1619.857289,1583.580349,0.686643373,0.313356627,1625.721672,1577.715967,,,,,,,1630.390187,1599.694104,0.72910626,0.27089374,113,103,89,12,51
11/1/21,2022,0,,CHO,CLE,1481.003052,1401.8867,0.737124566,0.262875434,1471.382537,1411.507215,,,,,,,1492.873419,1398.635448,0.712437268,0.287562732,110,113,28,17,23
11/1/21,2022,0,,ATL,WAS,1557.662366,1532.000455,0.673348266,0.326651734,1562.656406,1527.006415,,,,,,,1600.423777,1511.658165,0.748481867,0.251518133,118,111,72,40,56
11/1/21,2022,0,,BOS,CHI,1469.065905,1526.698014,0.560671854,0.439328146,1454.137549,1541.62637,,,,,,,1575.222018,1525.835723,0.696702231,0.303297769,114,128,71,60,66
11/1/21,2022,0,,NYK,TOR,1567.232729,1474.554592,0.751969588,0.248030412,1549.925928,1491.861393,,,,,,,1579.147444,1508.477935,0.715210999,0.284789001,104,113,68,45,57
11/1/21,2022,0,,MEM,DEN,1524.708486,1583.58222,0.558910566,0.441089434,1533.021943,1575.268762,,,,,,,1527.152987,1595.627703,0.543336889,0.456663111,106,97,74,34,54
11/1/21,2022,0,,MIN,ORL,1450.126861,1313.917883,0.795715516,0.204284484,1420.241152,1343.803592,,,,,,,1497.268559,1340.187838,0.81714743,0.18285257,97,115,19,9,14
11/1/21,2022,0,,LAC,OKC,1579.59114,1296.225991,0.900860922,0.099139078,1580.658996,1295.158136,,,,,,,1583.973089,1278.110456,0.907764547,0.092235453,99,94,19,4,12
11/2/21,2022,0,,DET,MIL,1363.221635,1598.293972,0.314850558,0.685149442,1351.402108,1610.113499,,,,,,,1361.688389,1510.150204,0.429736272,0.570263728,89,117,24,4,14
11/2/21,2022,0,,DAL,MIA,1535.779081,1591.826439,0.562917655,0.437082345,1520.069042,1607.536478,,,,,,,1560.335826,1580.286255,0.611293555,0.388706445,110,125,77,23,50
11/2/21,2022,0,,UTA,SAC,1646.502624,1462.065585,0.837174194,0.162825806,1648.554008,1460.014201,,,,,,,1643.17858,1467.801805,0.852304071,0.147695929,119,113,71,10,41
11/2/21,2022,0,,PHO,NOP,1612.383712,1445.030456,0.823320625,0.176679375,1615.77099,1441.643177,,,,,,,1599.850817,1456.41249,0.81136596,0.18863404,112,100,61,20,41
11/2/21,2022,0,,LAL,HOU,1530.229278,1328.328035,0.850418,0.149582,1531.393592,1327.163721,,,,,,,1468.120687,1313.241524,0.80763816,0.19236184,119,117,11,9,10
11/3/21,2022,0,,WAS,TOR,1527.006415,1491.861393,0.685239694,0.314760306,1512.049298,1506.81851,,,,,,,1525.261328,1515.472707,0.640504832,0.359495168,100,109,59,69,64
11/3/21,2022,0,,CLE,POR,1411.507215,1577.715967,0.405854815,0.594145185,1418.522046,1570.701136,,,,,,,1363.090263,1595.408894,0.315486381,0.684513619,107,104,38,13,26
11/3/21,2022,0,,IND,NYK,1468.912508,1549.925928,0.527296718,0.472703282,1480.323051,1538.515385,,,,,,,1539.380335,1568.946082,0.603450714,0.396549286,111,98,72,64,68
11/3/21,2022,0,,ORL,BOS,1343.803592,1454.137549,0.485132625,0.514867375,1332.012621,1465.92852,,,,,,,1361.629622,1563.138823,0.347443566,0.652556434,79,92,32,22,27
